Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,0.2,1000,Random,1000,400,0.4101678191153525,0.41137660205627125,0.41258538499719
Zipf,,0.4,1000,Random,1000,400,0.4536245111085625,0.4549765315292376,0.45632855194991273
Zipf,,0.6,1000,Random,1000,400,0.5366021756960658,0.5381951487051057,0.5397881217141455
Zipf,,0.8,1000,Random,1000,400,0.6548342024872611,0.6567723567404369,0.6587105109936127
Zipf,,1.0,1000,Random,1000,400,0.7819530276479412,0.7842630109155018,0.7865729941830624
Zipf,,1.2,1000,Random,1000,400,0.8847728450244913,0.8873710653276253,0.8899692856307594
Zipf,,1.4,1000,Random,1000,400,0.9475439210232677,0.9503251778592058,0.9531064346951439
Zipf,,1.6,1000,Random,1000,400,0.977332976657706,0.9802172475354033,0.9831015184131006
Zipf,,1.8,1000,Random,1000,400,0.9898625828114593,0.9927751176530285,0.9956876524945977
Zipf,,2.0,1000,Random,1000,400,0.9944658714038427,0.9973904539108573,1.000315036417872
Zipf,,0.2,1000,FIFO,1000,400,0.41028758086348055,0.41149452962434435,0.41270147838520815
Zipf,,0.4,1000,FIFO,1000,400,0.4531750040753946,0.4545031112721644,0.4558312184689342
Zipf,,0.6,1000,FIFO,1000,400,0.5365186439367489,0.5380973335057729,0.539676023074797
Zipf,,0.8,1000,FIFO,1000,400,0.6547097655768735,0.656617861945239,0.6585259583136044
Zipf,,1.0,1000,FIFO,1000,400,0.7816832991454808,0.7839743906653538,0.7862654821852267
Zipf,,1.2,1000,FIFO,1000,400,0.884048552492614,0.8866615107760393,0.8892744690594645
Zipf,,1.4,1000,FIFO,1000,400,0.9469202510136838,0.9497029151155824,0.9524855792174809
Zipf,,1.6,1000,FIFO,1000,400,0.9771344288664097,0.9800162610494395,0.9828980932324693
Zipf,,1.8,1000,FIFO,1000,400,0.989882644215285,0.9928016877141339,0.9957207312129828
Zipf,,2.0,1000,FIFO,1000,400,0.9943997802979274,0.9973287361297342,1.000257691961541
Zipf,,0.2,1000,LRU,1000,400,0.4130410546268506,0.41551945026800724,0.4179978459091639
Zipf,,0.4,1000,LRU,1000,400,0.47226749352331293,0.47366119932114104,0.47505490511896914
Zipf,,0.6,1000,LRU,1000,400,0.5721097150510253,0.5755551369679518,0.5790005588848783
Zipf,,0.8,1000,LRU,1000,400,0.7003980459223385,0.7024425821708452,0.704487118419352
Zipf,,1.0,1000,LRU,1000,400,0.8223003579450726,0.8247219147833288,0.827143471621585
Zipf,,1.2,1000,LRU,1000,400,0.910961694859367,0.9136448026429824,0.9163279104265979
Zipf,,1.4,1000,LRU,1000,400,0.9612038557088444,0.9640335982970412,0.966863340885238
Zipf,,1.6,1000,LRU,1000,400,0.9836599969773867,0.9865613402033321,0.9894626834292775
Zipf,,1.8,1000,LRU,1000,400,0.9924108414455086,0.9953303105368422,0.9982497796281757
Zipf,,2.0,1000,LRU,1000,400,0.9953140570284826,0.9982404675502934,1.0011668780721041
Zipf,,0.2,1000,LFU,1000,400,0.4237018038745936,0.42494856860295604,0.4261953333313185
Zipf,,0.4,1000,LFU,1000,400,0.5000751952477019,0.5015407346476177,0.5030062740475335
Zipf,,0.6,1000,LFU,1000,400,0.6148654719963146,0.616681976336457,0.6184984806765995
Zipf,,0.8,1000,LFU,1000,400,0.7384113497259193,0.7405968926803943,0.7427824356348693
Zipf,,1.0,1000,LFU,1000,400,0.8487315428956627,0.8512434769528971,0.8537554110101316
Zipf,,1.2,1000,LFU,1000,400,0.9272039470462657,0.9299410118949146,0.9326780767435635
Zipf,,1.4,1000,LFU,1000,400,0.968578239802576,0.9714394351618936,0.9743006305212112
Zipf,,1.6,1000,LFU,1000,400,0.9864785950782335,0.9893802423320527,0.9922818895858718
Zipf,,1.8,1000,LFU,1000,400,0.9931660528186239,0.99608731552896,0.9990085782392961
Zipf,,2.0,1000,LFU,1000,400,0.9956078357478134,0.9985363189501753,1.0014648021525372
