Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,0.75,1000,LFU,1000,300,0.6299611231294797,0.63791697809904,0.6458728330686003
Zipf,,0.75,1000,LFU,1000,400,0.7022757036861271,0.7111865080976177,0.7200973125091084
Zipf,,0.75,1000,LFU,1000,500,0.7626495026126087,0.7722818931293575,0.7819142836461063
Zipf,,0.75,1000,LFU,1000,600,0.8100652862437621,0.8203215358335438,0.8305777854233256
Zipf,,0.75,1000,LFU,1000,700,0.8492143695658317,0.8742577276118539,0.8993010856578761
Zipf,,0.75,1000,LFU,1000,800,0,0.9200177440843758,0
Zipf,,0.75,1000,LFU,1000,900,0,0.9606936102491921,0
Zipf,,1.0,1000,Random,1000,100,0.516069627288814,0.5225868678592803,0.5291041084297466
Zipf,,1.0,1000,Random,1000,200,0.6390527653647443,0.6471373950805018,0.6552220247962594
Zipf,,1.0,1000,Random,1000,300,0.7180688326035323,0.7271430932741189,0.7362173539447054
Zipf,,1.0,1000,Random,1000,400,0.7732946636687619,0.783035514394228,0.7927763651196942
Zipf,,1.0,1000,Random,1000,500,0.8206020009654513,0.8309864131833776,0.8413708254013039
Zipf,,1.0,1000,Random,1000,600,0.8617349590073446,0.8726635801036262,0.8835922011999078
Zipf,,1.0,1000,Random,1000,700,0,0.9084081949197271,0
Zipf,,1.0,1000,Random,1000,800,0,0.941228052522668,0
Zipf,,1.0,1000,Random,1000,900,0.9424717332198711,0.9702676567755231,0.998063580331175
Zipf,,1.0,1000,FIFO,1000,100,0.5121888439269969,0.5186618313162144,0.5251348187054318
Zipf,,1.0,1000,FIFO,1000,200,0.6377011587003474,0.6457581699768877,0.6538151812534281
Zipf,,1.0,1000,FIFO,1000,300,0.7163948250047704,0.7254263005111943,0.7344577760176182
Zipf,,1.0,1000,FIFO,1000,400,0.7734538036519071,0.7832894655595626,0.7931251274672181
Zipf,,1.0,1000,FIFO,1000,500,0.8201660289950253,0.8305604531093989,0.8409548772237724
Zipf,,1.0,1000,FIFO,1000,600,0.8621479731272457,0.8730824833000714,0.8840169934728972
Zipf,,1.0,1000,FIFO,1000,700,0.8820974716188799,0.9081080804039914,0.9341186891891029
Zipf,,1.0,1000,FIFO,1000,800,0,0.9401825142501801,0
Zipf,,1.0,1000,FIFO,1000,900,0,0.9698759933647848,0
Zipf,,1.0,1000,LRU,1000,100,0.5587122983472214,0.5751732878005594,0.5916342772538975
Zipf,,1.0,1000,LRU,1000,200,0.6891820092491548,0.6979452504933087,0.7067084917374625
Zipf,,1.0,1000,LRU,1000,300,0.7586751305247472,0.7682951450393146,0.777915159553882
Zipf,,1.0,1000,LRU,1000,400,0.8111317411481478,0.8213460453842735,0.8315603496203992
Zipf,,1.0,1000,LRU,1000,500,0.8553497009985597,0.8661813194027155,0.8770129378068713
Zipf,,1.0,1000,LRU,1000,600,0.8885360449698235,0.8998045148519102,0.9110729847339968
Zipf,,1.0,1000,LRU,1000,700,0,0.9309497470684275,0
Zipf,,1.0,1000,LRU,1000,800,0,0.9561668992089726,0
Zipf,,1.0,1000,LRU,1000,900,0,0.9788413874390649,0
Zipf,,1.0,1000,LFU,1000,100,0.6389838730880246,0.6470536797974002,0.6551234865067759
Zipf,,1.0,1000,LFU,1000,200,0.7396611413691568,0.748967647204943,0.7582741530407292
Zipf,,1.0,1000,LFU,1000,300,0.7957197745731708,0.805772225821439,0.8158246770697073
Zipf,,1.0,1000,LFU,1000,400,0.8370743265322717,0.8476359997527033,0.858197672973135
Zipf,,1.0,1000,LFU,1000,500,0.8732420312721358,0.8842758427317896,0.8953096541914434
Zipf,,1.0,1000,LFU,1000,600,0.9015627669398937,0.9129843328515906,0.9244058987632876
Zipf,,1.0,1000,LFU,1000,700,0.9269643278071313,0.9386954281189697,0.950426528430808
Zipf,,1.0,1000,LFU,1000,800,0.9486934251876394,0.9607145838721455,0.9727357425566515
Zipf,,1.0,1000,LFU,1000,900,0,0.9800864039213515,0
Zipf,,1.5,1000,Random,1000,100,0.8833541707076259,0.8945219118296288,0.9056896529516317
