Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,5,1.0,1000,TTL,1000,100,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,150,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,200,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,250,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,300,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,350,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,400,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,5,1.0,1000,TTL,1000,450,0.21139030082363647,0.21265344653869464,0.2139165922537528
Zipf,55,1.0,1000,TTL,1000,100,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,150,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,200,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,250,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,300,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,350,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,400,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,55,1.0,1000,TTL,1000,450,0.5126813873602454,0.5141826529542677,0.51568391854829
Zipf,105,1.0,1000,TTL,1000,100,0.5739613014734929,0.5756487433928571,0.5773361853122213
Zipf,105,1.0,1000,TTL,1000,150,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,105,1.0,1000,TTL,1000,200,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,105,1.0,1000,TTL,1000,250,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,105,1.0,1000,TTL,1000,300,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,105,1.0,1000,TTL,1000,350,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,105,1.0,1000,TTL,1000,400,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,105,1.0,1000,TTL,1000,450,0.5953950830420836,0.5971430003563526,0.5988909176706216
Zipf,155,1.0,1000,TTL,1000,100,0.574288823891585,0.5759703441826832,0.5776518644737815
Zipf,155,1.0,1000,TTL,1000,150,0.6398888095796934,0.6417728617268076,0.6436569138739218
Zipf,155,1.0,1000,TTL,1000,200,0.645070887566349,0.6469667715949677,0.6488626556235865
Zipf,155,1.0,1000,TTL,1000,250,0.645070887566349,0.6469667715949677,0.6488626556235865
Zipf,155,1.0,1000,TTL,1000,300,0.645070887566349,0.6469667715949677,0.6488626556235865
Zipf,155,1.0,1000,TTL,1000,350,0.645070887566349,0.6469667715949677,0.6488626556235865
Zipf,155,1.0,1000,TTL,1000,400,0.645070887566349,0.6469667715949677,0.6488626556235865
Zipf,155,1.0,1000,TTL,1000,450,0.645070887566349,0.6469667715949677,0.6488626556235865
Zipf,205,1.0,1000,TTL,1000,100,0.574288823891585,0.5759703441826832,0.5776518644737815
Zipf,205,1.0,1000,TTL,1000,150,0.6438590816888107,0.6457545519195589,0.6476500221503071
Zipf,205,1.0,1000,TTL,1000,200,0.6781537556283966,0.6822585624225762,0.6863633692167558
Zipf,205,1.0,1000,TTL,1000,250,0.6806275484725675,0.6826296578619285,0.6846317672512896
Zipf,205,1.0,1000,TTL,1000,300,0.6806275484725675,0.6826296578619285,0.6846317672512896
Zipf,205,1.0,1000,TTL,1000,350,0.6806275484725675,0.6826296578619285,0.6846317672512896
Zipf,205,1.0,1000,TTL,1000,400,0.6806275484725675,0.6826296578619285,0.6846317672512896
Zipf,205,1.0,1000,TTL,1000,450,0.6806275484725675,0.6826296578619285,0.6846317672512896
Zipf,255,1.0,1000,TTL,1000,100,0.574288823891585,0.5759703441826832,0.5776518644737815
Zipf,255,1.0,1000,TTL,1000,150,0.6438626319217529,0.6457581534864264,0.6476536750510999
Zipf,255,1.0,1000,TTL,1000,200,0.6949086561790001,0.6969517631504781,0.6989948701219562
Zipf,255,1.0,1000,TTL,1000,250,0.7082000852616129,0.7102838403295489,0.712367595397485
Zipf,255,1.0,1000,TTL,1000,300,0.7082000852616129,0.7102838403295489,0.712367595397485
Zipf,255,1.0,1000,TTL,1000,350,0.7082000852616129,0.7102838403295489,0.712367595397485
Zipf,255,1.0,1000,TTL,1000,400,0.7082000852616129,0.7102838403295489,0.712367595397485
Zipf,255,1.0,1000,TTL,1000,450,0.7082000852616129,0.7102838403295489,0.712367595397485
Zipf,305,1.0,1000,TTL,1000,100,0.574288823891585,0.5759703441826832,0.5776518644737815
Zipf,305,1.0,1000,TTL,1000,150,0.6438626319217529,0.6457581534864264,0.6476536750510999
Zipf,305,1.0,1000,TTL,1000,200,0.6952752654208726,0.6973186324920789,0.6993619995632853
